JDTDB,Calendar Date (TDB),delta-T,X,Y,Z,VX,VY,VZ,Calendar Date (UTC)
2461137.319421296, A.D. 2026-Apr-06 19:39:58.0000,69.185632,-143940062.5837858,-40425046.19865787,-17541760.83645958,8.30960018139247,-27.54661904870792,-10.33149735978841,2026-04-06T19:38:48.814352
2461137.320115741, A.D. 2026-Apr-06 19:40:58.0000,69.185632,-143939565.632434,-40426700.1482107,-17542382.53636015,8.255793494571805,-27.58469419339748,-10.39249064469155,2026-04-06T19:39:48.814388
2461137.320810185, A.D. 2026-Apr-06 19:41:58.0000,69.185632,-143939071.8517187,-40428356.29656271,-17543008.00396377,8.203949081856944,-27.61989957461441,-10.4570639699339,2026-04-06T19:40:48.814344
2461137.32150463, A.D. 2026-Apr-06 19:42:58.0000,69.185632,-143938581.1180019,-40430014.46714018,-17543637.4484745,8.154260947938576,-27.65209224837167,-10.52502435238709,2026-04-06T19:41:48.814421
2461137.322199074, A.D. 2026-Apr-06 19:43:58.0000,69.185632,-143938093.296537,-40431674.47546694,-17544271.06675059,8.106905672450202,-27.68115069626017,-10.59615788078303,2026-04-06T19:42:48.814377
2461137.322893518, A.D. 2026-Apr-06 19:44:58.0000,69.185632,-143937608.2422906,-40433336.13019914,-17544909.04249598,8.062050668380975,-27.70696645435601,-10.67023928636607,2026-04-06T19:43:48.814334
2461137.323587963, A.D. 2026-Apr-06 19:45:58.0000,69.185632,-143937125.80033,-40434999.23377548,-17545551.54535093,8.01985912051484,-27.72944164691829,-10.74702191873615,2026-04-06T19:44:48.814370
2461137.324282407, A.D. 2026-Apr-06 19:46:58.0000,69.185632,-143936645.8063397,-40436663.583652,-17546198.72916009,7.980474492603518,-27.74851364862596,-10.82622985801117,2026-04-06T19:45:48.814327
2461137.324976852, A.D. 2026-Apr-06 19:47:58.0000,69.185632,-143936168.0886346,-40438328.97474036,-17546850.73170933,7.944000550184841,-27.7641530454467,-10.90761382792856,2026-04-06T19:46:48.814403
2461137.325671296, A.D. 2026-Apr-06 19:48:58.0000,69.185632,-143935692.4696943,-40439995.19974942,-17547507.67717555,7.910536581831892,-27.77630840708735,-10.99096130498999,2026-04-06T19:47:48.814360
2461137.326365741, A.D. 2026-Apr-06 19:49:58.0000,69.185632,-143935218.7654586,-40441662.04770534,-17548169.67636972,7.880198164224114,-27.78491761671019,-11.07603297308253,2026-04-06T19:48:48.814396
2461137.327060185, A.D. 2026-Apr-06 19:50:58.0000,69.185632,-143934746.784994,-40443329.30448293,-17548836.82500001,7.853097863898413,-27.78993746437071,-11.1625679296589,2026-04-06T19:49:48.814352
2461137.32775463, A.D. 2026-Apr-06 19:51:58.0000,69.185632,-143934276.3308377,-40444996.75391512,-17549509.20270356,7.82933842048128,-27.79134295479104,-11.25029266532963,2026-04-06T19:50:48.814389
2461137.328449074, A.D. 2026-Apr-06 19:52:58.0000,69.185632,-143933807.1999956,-40446664.1787366,-17550186.87249934,7.809000106004751,-27.78912188298573,-11.33892794888504,2026-04-06T19:51:48.814386
2461137.329143519, A.D. 2026-Apr-06 19:53:58.0000,69.185632,-143933339.1851829,-40448331.36114327,-17550869.88069219,7.792150368087419,-27.78326695516216,-11.42819361161466,2026-04-06T19:52:48.814422
2461137.329837963, A.D. 2026-Apr-06 19:54:58.0000,69.185632,-143932872.0751372,-40449998.08337478,-17551558.25626852,7.77885103062959,-27.77379094210974,-11.51779473011899,2026-04-06T19:53:48.814378
2461137.330532407, A.D. 2026-Apr-06 19:55:58.0000,69.185632,-143932405.6554077,-40451664.12901878,-17552252.01069798,7.76914697803775,-27.76072322112832,-11.60744401545182,2026-04-06T19:54:48.814335
2461137.331226852, A.D. 2026-Apr-06 19:56:58.0000,69.185632,-143931939.7091445,-40453329.28361968,-17552951.13837007,7.763075120356984,-27.74409845820375,-11.6968550319384,2026-04-06T19:55:48.814371
2461137.331921296, A.D. 2026-Apr-06 19:57:58.0000,69.185632,-143931474.0176107,-40454993.33526318,-17553655.61599278,7.760658427055674,-27.72397100645924,-11.78572783564124,2026-04-06T19:56:48.814368
2461137.332615741, A.D. 2026-Apr-06 19:58:58.0000,69.185632,-143931008.3613607,-40456656.07596351,-17554365.40253615,7.761898364237508,-27.70041377020149,-11.87377293804955,2026-04-06T19:57:48.814404
2461137.333310185, A.D. 2026-Apr-06 19:59:58.0000,69.185632,-143930542.5213239,-40458317.30235249,-17555080.43987139,7.766781828226508,-27.67350831920006,-11.96070988710637,2026-04-06T19:58:48.814360
2461137.334004629, A.D. 2026-Apr-06 20:00:58.0000,69.185632,-143930076.2792907,-40459976.81632916,-17555800.65347185,7.775295435837929,-27.64334943444488,-12.04627177080804,2026-04-06T19:59:48.814317
2461137.334699074, A.D. 2026-Apr-06 20:01:58.0000,69.185632,-143929609.4181274,-40461634.42562947,-17556525.95286027,7.787412774048438,-27.61003363895522,-12.13018971605653,2026-04-06T20:00:48.814353
2461137.335393519, A.D. 2026-Apr-06 20:02:58.0000,69.185632,-143929141.7230068,-40463289.94398221,-17557256.23119504,7.803084982629591,-27.57366697620586,-12.21219250547891,2026-04-06T20:01:48.814430
2461137.336087963, A.D. 2026-Apr-06 20:03:58.0000,69.185632,-143928672.982179,-40464943.19200409,-17557991.36567447,7.822258327903377,-27.53437627562613,-12.29201870800189,2026-04-06T20:02:48.814386
2461137.336782407, A.D. 2026-Apr-06 20:04:58.0000,69.185632,-143928202.9876102,-40466593.99853662,-17558731.2184757,7.844862621890233,-27.49230307165817,-12.36942981836987,2026-04-06T20:03:48.814343
2461137.337476852, A.D. 2026-Apr-06 20:05:58.0000,69.185632,-143927731.5358768,-40468242.20082197,-17559475.63781531,7.870815649636446,-27.44758410352506,-12.44419734611203,2026-04-06T20:04:48.814379
2461137.338171296, A.D. 2026-Apr-06 20:06:58.0000,69.185632,-143927258.4286974,-40469887.64395815,-17560224.45799016,7.900025562592716,-27.40034984573469,-12.51608302169445,2026-04-06T20:05:48.814335
2461137.338865741, A.D. 2026-Apr-06 20:07:58.0000,69.185632,-143926783.4736852,-40471530.18170881,-17560977.49945049,7.932392464196346,-27.3507588020553,-12.58487067962727,2026-04-06T20:06:48.814412
2461137.339560185, A.D. 2026-Apr-06 20:08:58.0000,69.185632,-143926306.4843998,-40473169.67765909,-17561734.57034802,7.967816060378099,-27.2989754764513,-12.65036262516499,2026-04-06T20:07:48.814369
2461137.340254629, A.D. 2026-Apr-06 20:09:58.0000,69.185632,-143925827.2807672,-40474806.00507063,-17562495.46686836,8.006179640127566,-27.24516228511034,-12.71235506708704,2026-04-06T20:08:48.814325
2461137.340949074, A.D. 2026-Apr-06 20:10:58.0000,69.185632,-143925345.6904375,-40476439.04758216,-17563259.97341583,8.047347922851838,-27.18950072031507,-12.77066481725058,2026-04-06T20:09:48.814361
2461137.341643518, A.D. 2026-Apr-06 20:11:58.0000,69.185632,-143924861.5491286,-40478068.6998018,-17564027.86403547,8.09118735612288,-27.13217334106812,-12.82512642013847,2026-04-06T20:10:48.814318
2461137.342337963, A.D. 2026-Apr-06 20:12:58.0000,69.185632,-143924374.7010019,-40479694.86711994,-17564798.90296911,8.137544605461594,-27.07335701244564,-12.87557869206233,2026-04-06T20:11:48.814394
2461137.343032408, A.D. 2026-Apr-06 20:13:58.0000,69.185632,-143923885.0001177,-40481317.46575747,-17565572.84540761,8.186249181206312,-27.01323958705887,-12.92188679698813,2026-04-06T20:12:48.814431
2461137.343726852, A.D. 2026-Apr-06 20:14:58.0000,69.185632,-143923392.3101774,-40482936.42363126,-17566349.4396551,8.237155579892475,-26.95201950135168,-12.96395250045284,2026-04-06T20:13:48.814387
2461137.344421296, A.D. 2026-Apr-06 20:15:58.0000,69.185632,-143922896.5029256,-40484551.68002747,-17567128.42799532,8.290131295246164,-26.88987466723225,-13.00166116434485,2026-04-06T20:14:48.814344
2461137.345115741, A.D. 2026-Apr-06 20:16:58.0000,69.185632,-143922397.4593711,-40486163.18504266,-17567909.54489491,8.344995894704919,-26.8269963605381,-13.03488034990505,2026-04-06T20:15:48.814380
2461137.345810185, A.D. 2026-Apr-06 20:17:58.0000,69.185632,-143921895.0722421,-40487770.901241,-17568692.51828737,8.401546853235637,-26.76360465657545,-13.06353270792942,2026-04-06T20:16:48.814377
2461137.34650463, A.D. 2026-Apr-06 20:18:58.0000,69.185632,-143921389.2459784,-40489374.80364561,-17569477.07327456,8.459602024408323,-26.69988506103445,-13.08758686571193,2026-04-06T20:17:48.814413
2461137.347199074, A.D. 2026-Apr-06 20:19:58.0000,69.185632,-143920879.8954789,-40490974.87773266,-17570262.93241324,8.51898808885339,-26.63601302248275,-13.10698910106168,2026-04-06T20:18:48.814369
2461137.347893518, A.D. 2026-Apr-06 20:20:58.0000,69.185632,-143920366.9462878,-40492571.12043781,-17571049.81531032,8.579523982745497,-26.57219383126319,-13.12170441258699,2026-04-06T20:19:48.814326
2461137.348587963, A.D. 2026-Apr-06 20:21:58.0000,69.185632,-143919850.3348628,-40494163.54064812,-17571837.44071953,8.641029060011546,-26.50860966501403,-13.1317329967513,2026-04-06T20:20:48.814362
2461137.349282407, A.D. 2026-Apr-06 20:22:58.0000,69.185632,-143919330.0082916,-40495752.1571968,-17572625.52705002,8.703327866448575,-26.4454214415051,-13.13705659124209,2026-04-06T20:21:48.814359
2461137.349976852, A.D. 2026-Apr-06 20:23:58.0000,69.185632,-143918805.9245845,-40497336.99968177,-17573413.79148208,8.766230341384638,-26.38282870709639,-13.13766632252255,2026-04-06T20:22:48.814395
2461137.350671296, A.D. 2026-Apr-06 20:24:58.0000,69.185632,-143918278.0532953,-40498918.10981722,-17574201.95218217,8.829545067020403,-26.32102547248494,-13.1336007058722,2026-04-06T20:23:48.814352
2461137.351365741, A.D. 2026-Apr-06 20:25:58.0000,69.185632,-143917746.3751458,-40500495.54001392,-17574989.73010163,8.893091637029467,-26.26017765120241,-13.12490722066544,2026-04-06T20:24:48.814388
2461137.352060185, A.D. 2026-Apr-06 20:26:58.0000,69.185632,-143917210.8816336,-40502069.35257781,-17575776.84892265,8.95668836016103,-26.20045182227722,-13.11163341356053,2026-04-06T20:25:48.814344
2461137.35275463, A.D. 2026-Apr-06 20:27:58.0000,69.185632,-143916671.5752194,-40503639.61968984,-17576563.03573629,9.02015468884544,-26.14200729304036,-13.09384505880709,2026-04-06T20:26:48.814421
2461137.353449074, A.D. 2026-Apr-06 20:28:58.0000,69.185632,-143916128.4689109,-40505206.42271084,-17577348.02161909,9.08331756023856,-26.08499503618951,-13.07160577656547,2026-04-06T20:27:48.814377
2461137.354143518, A.D. 2026-Apr-06 20:29:58.0000,69.185632,-143915581.5862925,-40506769.85254157,-17578131.54165614,9.145996055975811,-26.02958185598201,-13.04499279186648,2026-04-06T20:28:48.814334
2461137.354837963, A.D. 2026-Apr-06 20:30:58.0000,69.185632,-143915030.9619614,-40508330.00984359,-17578913.33653549,9.208006171199138,-25.97592119354657,-13.01411291260001,2026-04-06T20:29:48.814370
2461137.355532407, A.D. 2026-Apr-06 20:31:58.0000,69.185632,-143914476.6413267,-40509887.00391356,-17579693.15382547,9.2691747377819,-25.92414911775358,-12.97908750450146,2026-04-06T20:30:48.814327
2461137.356226852, A.D. 2026-Apr-06 20:32:58.0000,69.185632,-143913918.6793906,-40511440.95189761,-17580470.74842854,9.329354290139166,-25.8743938288307,-12.94003527185687,2026-04-06T20:31:48.814403
